case,build,mode,from_round,member,origin,previous_class,out_color_multiset,in_color_multiset,used_signature,next_class,partition_changed
family_graph_01,O3S,full,0,FUN_00113e20,shared_recursive,R0C1,-,R0C2*5; anchor:root*2,prev=R0C1; out=-; in=R0C2*5; anchor:root*2,R1C1,False
family_graph_01,O3S,full,0,FUN_00113f00,shared_recursive,R0C1,-,R0C2*5; anchor:root*2,prev=R0C1; out=-; in=R0C2*5; anchor:root*2,R1C1,False
family_graph_01,O3S,full,0,FUN_00113f80,shared_recursive,R0C1,-,R0C2*5; anchor:root*2,prev=R0C1; out=-; in=R0C2*5; anchor:root*2,R1C1,False
family_graph_01,O3S,full,0,FUN_00114460,process,R0C2,R0C1*5,anchor:root*2,prev=R0C2; out=R0C1*5; in=anchor:root*2,R1C2,False
family_graph_01,O3S,full,0,FUN_00114640,process,R0C2,R0C1*5,anchor:root*2,prev=R0C2; out=R0C1*5; in=anchor:root*2,R1C2,False
family_graph_01,O3S,full,0,FUN_00114880,process,R0C2,R0C1*5,anchor:root*2,prev=R0C2; out=R0C1*5; in=anchor:root*2,R1C2,False
family_graph_02,O3S,full,0,FUN_00113fd0,process_beta,R0C1,R0C2*5,anchor:root*2,prev=R0C1; out=R0C2*5; in=anchor:root*2,R1C1,True
family_graph_02,O3S,full,0,FUN_001140f0,process_beta,R0C1,R0C2*5,anchor:root*2,prev=R0C1; out=R0C2*5; in=anchor:root*2,R1C1,True
family_graph_02,O3S,full,0,FUN_00114350,recurse_beta,R0C2,-,R0C1*5,prev=R0C2; out=-; in=R0C1*5,R1C2,True
family_graph_02,O3S,full,0,FUN_001144d0,recurse_beta,R0C2,-,R0C1*5,prev=R0C2; out=-; in=R0C1*5,R1C2,True
family_graph_02,O3S,full,0,FUN_00114590,process_alpha,R0C1,R0C3*5,anchor:root*2,prev=R0C1; out=R0C3*5; in=anchor:root*2,R1C3,True
family_graph_02,O3S,full,0,FUN_001147f0,process_alpha,R0C1,R0C3*5,anchor:root*2,prev=R0C1; out=R0C3*5; in=anchor:root*2,R1C3,True
family_graph_02,O3S,full,0,FUN_00114910,recurse_alpha,R0C3,-,R0C1*5,prev=R0C3; out=-; in=R0C1*5,R1C4,True
family_graph_02,O3S,full,0,FUN_001149a0,recurse_alpha,R0C3,-,R0C1*5,prev=R0C3; out=-; in=R0C1*5,R1C4,True
family_graph_02,O3S,full,0,FUN_00114ac0,c_process_alpha_i32,R0C1,R0C3*5,anchor:root*2,prev=R0C1; out=R0C3*5; in=anchor:root*2,R1C3,True
family_graph_02,O3S,full,0,FUN_00114be0,c_recurse_alpha_i32,R0C3,-,R0C1*5,prev=R0C3; out=-; in=R0C1*5,R1C4,True
